Name,Code,AltName,AltCode
Evening Grosbeak,EVGR,Hesperiphona vespertina,evegro
Field Sparrow,FISP,Spizella pusilla,fiespa
Fish Crow,FICR,Corvus ossifragus,fiscro
Forster's Tern,FOTE,Sterna forsteri,forter
Fox Sparrow,FOSP,Passerella iliaca,foxspa
Franklin's Gull,FRGU,Leucophaeus pipixcan,fragul
Gadwall,GADW,Mareca strepera,gadwal
Glaucous-winged Gull,GWGU,Larus glaucescens,glwgul
Golden Eagle,GOEA,Aquila chrysaetos,goleag
Golden-crowned Kinglet,GCKI,Regulus satrapa,gockin
Golden-crowned Sparrow,GCSP,Zonotrichia atricapilla,gocspa
Golden-winged Warbler,GWWA,Vermivora chrysoptera,gowwar
Grasshopper Sparrow,GRSP,Ammodramus savannarum,graspa
Gray Catbird,GRCA,Dumetella carolinensis,grycat
Gray Flycatcher,GRFL,Empidonax wrightii,gryfly
Gray Partridge,GRAP,Perdix perdix,grypar
Gray Treefrog,FROG-GRTR,Hyla versicolor,FROG-GRTR
Gray-cheeked Thrush,GCTH,Catharus minimus,gycthr
Gray-headed Chickadee,GHCH,Poecile cinctus,gyhchi
Great Basin Spadefoot,TOAD-GBSP,Spea intermontana,TOAD-GBSP
Great Black-backed Gull,GBBG,Larus marinus,gbbgul
Great Blue Heron,GBHE,Ardea herodias,grbher3
Great Crested Flycatcher,GCFL,Myiarchus crinitus,grcfly
Great Egret,GREG,Ardea alba,greegr
Great Gray Owl,GGOW,Strix nebulosa,grgowl
Great Horned Owl,GHOW,Bubo virginianus,grhowl
Great Plains Toad,TOAD-GRPL,Anaxyrus cognatus,TOAD-GRPL
Greater White-fronted Goose,GWFG,Anser albifrons,gwfgoo
Greater Yellowlegs,GRYE,Tringa melanoleuca,greyel
Green Frog,FROG-GREN,Lithobates clamitans,FROG-GREN
Green Heron,GRHE,Butorides virescens,grnher
Green-winged Teal,GWTE,Anas crecca,gnwtea
Hairy Woodpecker,HAWO,Leuconotopicus villosus,haiwoo
Hammond's Flycatcher,HAFL,Empidonax hammondii,hamfly
Harlequin Duck,HADU,Histrionicus histrionicus,harduc
Harris's Sparrow,HASP,Zonotrichia querula,harspa
Henslow's Sparrow,HESP,Centronyx henslowii,henspa
Hermit Thrush,HETH,Catharus guttatus,herthr
Herring Gull,HERG,Larus smithsonianus,hergul
Hooded Merganser,HOME,Lophodytes cucullatus,hoomer
Hooded Warbler,HOWA,Setophaga citrina,hoowar
Horned Grebe,HOGR,Podiceps auritus,horgre
Horned Lark,HOLA,Eremophila alpestris,horlar
House Finch,HOFI,Haemorhous mexicanus,houfin
House Sparrow,HOSP,Passer domesticus,houspa
House Wren,HOWR,Troglodytes aedon,houwre
Hudsonian Godwit,HUGO,Limosa haemastica,hudgod
Hutton's Vireo,HUVI,Vireo huttoni,hutvir
Indigo Bunting,INBU,Passerina cyanea,indbun
Insects,Insects,Insects,Insects
Kentucky Warbler,KEWA,Geothlypis formosa,kenwar
Killdeer,KILL,Charadrius vociferus,killde
King Rail,KIRA,Rallus elegans,kinrai4
Kirtland's Warbler,KIWA,Setophaga kirtlandii,kirwar
Lapland Longspur,LALO,Calcarius lapponicus,laplon
Lark Bunting,LARB,Calamospiza melanocorys,larbun
Lark Sparrow,LASP,Chondestes grammacus,larspa
Lazuli Bunting,LAZB,Passerina amoena,lazbun
Least Bittern,LEBI,Botaurus exilis,leabit
Least Flycatcher,LEFL,Empidonax minimus,leafly
Least Sandpiper,LESA,Calidris minutilla,leasan
LeConte's Sparrow,LCSP,Ammospiza leconteii,lecspa
Lesser Black-backed Gull,LBBG,Larus fuscus,lbbgul
Lesser Yellowlegs,LEYE,Tringa flavipes,lesyel
Lewis's Woodpecker,LEWO,Melanerpes lewis,lewwoo
Lincoln's Sparrow,LISP,Melospiza lincolnii,linspa
Loggerhead Shrike,LOSH,Lanius ludovicianus,logshr
Long-billed Curlew,LBCU,Numenius americanus,lobcur
Long-billed Dowitcher,LBDO,Limnodromus scolopaceus,lobdow
Long-eared Owl,LEOW,Asio otus,loeowl
Long-tailed Duck,LTDU,Clangula hyemalis,lotduc
Louisiana Waterthrush,LOWA,Parkesia motacilla,louwat
MacGillivray's Warbler,MGWA,Geothlypis tolmiei,macwar
Magnolia Warbler,MAWA,Setophaga magnolia,magwar
Mallard,MALL,Anas platyrhynchos,mallar3
Marbled Godwit,MAGO,Limosa fedoa,margod
Marbled Murrelet,MAMU,Brachyramphus marmoratus,marmur
Marsh Wren,MAWR,Cistothorus palustris,marwre
Merlin,MERL,Falco columbarius,merlin
Mountain Bluebird,MOBL,Sialia currucoides,moublu
Mountain Chickadee,MOCH,Poecile gambeli,mouchi
Mourning Dove,MODO,Zenaida macroura,moudov
Mourning Warbler,MOWA,Geothlypis philadelphia,mouwar
Mute Swan,MUSW,Cygnus olor,mutswa
Nashville Warbler,NAWA,Leiothlypis ruficapilla,naswar
Nelson's Sparrow,NESP,Ammospiza nelsoni,nstspa
Noise,Noise,Noise,Noise
Northern Cardinal,NOCA,Cardinalis cardinalis,norcar
Northern Flicker,NOFL,Colaptes auratus,norfli
Northern Harrier,NOHA,Circus hudsonius,norhar2
Northern Hawk Owl,NHOW,Surnia ulula,nohowl
Northern Leopard Frog,FROG-LEOP,Lithobates pipiens,
Northern Parula,NOPA,Setophaga americana,norpar
Northern Pintail,NOPI,Anas acuta,norpin
Northern Pygmy-Owl,NOPO,Glaucidium gnoma,nopowl
Northern Rough-winged Swallow,NRWS,Stelgidopteryx serripennis,nrwswa
Northern Saw-whet Owl,NSWO,Aegolius acadicus,nswowl
Northern Shoveler,NSHO,Spatula clypeata,norsho
Northern Shrike,NSHR,Lanius borealis,norshr4
Northern Waterthrush,NOWA,Parkesia noveboracensis,norwat
Olive-sided Flycatcher,OSFL,Contopus cooperi,olsfly
Orange-crowned Warbler,OCWA,Leiothlypis celata,orcwar
Orchard Oriole,OROR,Icterus spurius,orcori
Osprey,OSPR,Pandion haliaetus,osprey
Other,Other,Other,Other
Ovenbird,OVEN,Seiurus aurocapilla,ovenbi1
Pacific Chorus Frog,FROG-PACH,Pseudacris regilla,FROG-PACH
Pacific Loon,PALO,Gavia pacifica,pacloo
Pacific Wren,PAWR,Troglodytes pacificus,pacwre1
Palm Warbler,PAWA,Setophaga palmarum,palwar
Pectoral Sandpiper,PESA,Calidris melanotos,pecsan
Peregrine Falcon,PEFA,Falco peregrinus,perfal
Philadelphia Vireo,PHVI,Vireo philadelphicus,phivir
Pickerel Frog,FROG-PICK,Lithobates palustris,FROG-PICK
Pied-billed Grebe,PBGR,Podilymbus podiceps,pibgre
Pigeon Guillemot,PIGU,Cepphus columba,piggui
Pileated Woodpecker,PIWO,Dryocopus pileatus,pilwoo
Pine Grosbeak,PIGR,Pinicola enucleator,pingro
Pine Siskin,PISI,Spinus pinus,pinsis
Pine Warbler,PIWA,Setophaga pinus,pinwar
Pink-footed Shearwater,PFSH,Ardenna creatopus,pifshe
Plains Spadefoot Toad,TOAD-PLSP,Spea bombifrons,TOAD-PLSP
Prairie Warbler,PRAW,Setophaga discolor,prawar
Prothonotary Warbler,PROW,Protonotaria citrea,prowar
Purple Finch,PUFI,Haemorhous purpureus,purfin
Purple Martin,PUMA,Progne subis,purmar
Red Crossbill,RECR,Loxia curvirostra,redcro
Red-bellied Woodpecker,RBWO,Melanerpes carolinus,rebwoo
Red-breasted Nuthatch,RBNU,Sitta canadensis,rebnut
Red-breasted Sapsucker,RBSA,Sphyrapicus ruber,rebsap
Red-eyed Vireo,REVI,Vireo olivaceus,reevir1
Red-headed Woodpecker,RHWO,Melanerpes erythrocephalus,rehwoo
Red-naped Sapsucker,RNSA,Sphyrapicus nuchalis,rensap
Red-necked Grebe,RNGR,Podiceps grisegena,rengre
Red-necked Phalarope,RNPH,Phalaropus lobatus,renpha
Red-shouldered Hawk,RSHA,Buteo lineatus,reshaw
Red-tailed Hawk,RTHA,Buteo jamaicensis,rethaw
Red-throated Loon,RTLO,Gavia stellata,retloo
Red-winged Blackbird,RWBL,Agelaius phoeniceus,rewbla
Redhead,REDH,Aythya americana,redhea
Redpoll,REDP,Acanthis flammea flammea/rostrata/islandica,comred
Rhinoceros Auklet,RHAU,Cerorhinca monocerata,rhiauk
Ring-billed Gull,RBGU,Larus delawarensis,ribgul
Ring-necked Duck,RNDU,Aythya collaris,rinduc
Ring-necked Pheasant,RNEP,Phasianus colchicus,rinphe1
Rock Pigeon,ROPI,Columba livia,rocpig
Rock Ptarmigan,ROPT,Lagopus muta,rocpta1
Rock Wren,ROWR,Salpinctes obsoletus,rocwre
Rooster,Rooster,Gallus gallus domesticus,Rooster
Rose-breasted Grosbeak,RBGR,Pheucticus ludovicianus,robgro
Rough-legged Hawk,RLHA,Buteo lagopus,rolhaw
Ruby-crowned Kinglet,RCKI,Corthylio calendula,ruckin
Ruby-throated Hummingbird,RTHU,Archilochus colubris,rthhum
Ruddy Duck,RUDU,Oxyura jamaicensis,rudduc
Ruddy Turnstone,RUTU,Arenaria interpres,rudtur
Ruffed Grouse,RUGR,Bonasa umbellus,rufgro
Rufous Hummingbird,RUHU,Selasphorus rufus,rufhum
Rusty Blackbird,RUBL,Euphagus carolinus,rusbla
Sage Thrasher,SATH,Oreoscoptes montanus,sagthr
Sanderling,SAND,Calidris alba,sander
Sandhill Crane,SACR,Antigone canadensis,sancra
Savannah Sparrow,SAVS,Passerculus sandwichensis,savspa
Say's Phoebe,SAPH,Sayornis saya,saypho
Scarlet Tanager,SCTA,Piranga olivacea,scatan
Sedge Wren,SEWR,Cistothorus stellaris,sedwre1
Semipalmated Plover,SEPL,Charadrius semipalmatus,semplo
Semipalmated Sandpiper,SESA,Calidris pusilla,semsan
Sharp-shinned Hawk,SSHA,Accipiter striatus,shshaw
Sharp-tailed Grouse,STGR,Tympanuchus phasianellus,shtgro
Short-billed Dowitcher,SBDO,Limnodromus griseus,shbdow
Short-billed Gull,SBIG,Larus brachyrhynchus,mewgul2
Short-eared Owl,SEOW,Asio flammeus,sheowl
Snow Bunting,SNBU,Plectrophenax nivalis,snobun
Snow Goose,SNGO,Anser caerulescens,snogoo
Solitary Sandpiper,SOSA,Tringa solitaria,solsan
Song Sparrow,SOSP,Melospiza melodia,sonspa
Sora,SORA,Porzana carolina,sora
Speech,Speech,Speech,Speech
Spotted Owl,SPOW,Strix occidentalis,spoowl
Spotted Sandpiper,SPSA,Actitis macularius,sposan
Spotted Towhee,SPTO,Pipilo maculatus,spotow
Sprague's Pipit,SPPI,Anthus spragueii,sprpip
Spring Peeper,FROG-PEEP,Pseudacris crucifer,FROG-PEEP
Spruce Grouse,SPGR,Canachites canadensis,sprgro
Squirrel,Squirrel,Squirrel,Squirrel
Steller's Jay,STJA,Cyanocitta stelleri,stejay
Summer Tanager,SUTA,Piranga rubra,sumtan
Surfbird,SURF,Calidris virgata,surfbi
Swainson's Hawk,SWHA,Buteo swainsoni,swahaw
Swainson's Thrush,SWTH,Catharus ustulatus,swathr
Swamp Sparrow,SWSP,Melospiza georgiana,swaspa
Tennessee Warbler,TEWA,Leiothlypis peregrina,tenwar
Thick-billed Longspur,TBLO,Rhynchophanes mccownii,mcclon
Townsend's Solitaire,TOSO,Myadestes townsendi,towsol
Townsend's Warbler,TOWA,Setophaga townsendi,towwar
Tree Swallow,TRES,Tachycineta bicolor,treswa
Trumpeter Swan,TRUS,Cygnus buccinator,truswa
Tufted Puffin,TUPU,Fratercula cirrhata,tufpuf
Tufted Titmouse,TUTI,Baeolophus bicolor,tuftit
Tundra Swan,TUSW,Cygnus columbianus,tunswa
Upland Sandpiper,UPSA,Bartramia longicauda,uplsan
Varied Thrush,VATH,Ixoreus naevius,varthr
Vaux's Swift,VASW,Chaetura vauxi,vauswi
Veery,VEER,Catharus fuscescens,veery
Vesper Sparrow,VESP,Pooecetes gramineus,vesspa
Violet-green Swallow,VGSW,Tachycineta thalassina,vigswa
Virginia Rail,VIRA,Rallus limicola,virrai
Wandering Tattler,WATA,Tringa incana,wantat1
Warbling Vireo,WAVI,Vireo gilvus/swainsoni,warvir
Western Flycatcher,WEFL,Empidonax difficilis,wesfly
Western Grebe,WEGR,Aechmophorus occidentalis,wesgre
Western Kingbird,WEKI,Tyrannus verticalis,weskin
Western Meadowlark,WEME,Sturnella neglecta,wesmea
Western Screech-Owl,WESO,Megascops kennicottii,wesowl1
Western Tanager,WETA,Piranga ludoviciana,westan
Western Toad,TOAD-WEST,Anaxyrus boreas,TOAD-WEST
Western Wood-Pewee,WEWP,Contopus sordidulus,wewpew
Whimbrel,WHIM,Numenius hudsonicus/phaeopus,whimbr
White-breasted Nuthatch,WBNU,Sitta carolinensis,whbnut
White-crowned Sparrow,WCSP,Zonotrichia leucophrys,whcspa
White-eyed Vireo,WEVI,Vireo griseus,whevir
White-headed Woodpecker,WHWO,Dryobates albolarvatus,whhwoo
White-rumped Sandpiper,WRSA,Calidris fuscicollis,whrsan
White-tailed Ptarmigan,WTPT,Lagopus leucura,whtpta1
White-throated Sparrow,WTSP,Zonotrichia albicollis,whtspa
White-winged Crossbill,WWCR,Loxia leucoptera,whwcro
Wild Turkey,WITU,Meleagris gallopavo,wiltur
Willet,WILL,Tringa semipalmata,willet1
Williamson's Sapsucker,WISA,Sphyrapicus thyroideus,wilsap
Willow Flycatcher,WIFL,Empidonax traillii,wilfly
Willow Ptarmigan,WIPT,Lagopus lagopus,wilpta
Wilson's Phalarope,WIPH,Phalaropus tricolor,wilpha
Wilson's Snipe,WISN,Gallinago delicata,wilsni1
Wilson's Warbler,WIWA,Cardellina pusilla,wlswar
Winter Wren,WIWR,Troglodytes hiemalis,winwre3
Wood Duck,WODU,Aix sponsa,wooduc
Wood Frog,FROG-WOOD,Lithobates sylvaticus,FROG-WOOD
Wood Thrush,WOTH,Hylocichla mustelina,woothr
Worm-eating Warbler,WEWA,Helmitheros vermivorum,woewar1
Yellow Rail,YERA,Coturnicops noveboracensis,yelrai
Yellow Warbler,YEWA,Setophaga aestiva/petechia,yelwar
Yellow-bellied Flycatcher,YBFL,Empidonax flaviventris,yebfly
Yellow-bellied Sapsucker,YBSA,Sphyrapicus varius,yebsap
Yellow-billed Cuckoo,YBCU,Coccyzus americanus,yebcuc
Yellow-breasted Chat,YBCH,Icteria virens,yebcha
Yellow-headed Blackbird,YHBL,Xanthocephalus xanthocephalus,yehbla
Yellow-rumped Warbler,YRWA,Setophaga coronata,yerwar
Yellow-throated Vireo,YTVI,Vireo flavifrons,yetvir
Yellow-throated Warbler,YTWA,Setophaga dominica,yetwar
