# These classes are included in training, but ignored in analysis by default (see ignore.txt)
American Bullfrog,FROG-BULL
Great Gray Owl,GGOW
Great Horned Owl,GHOW
Greater White-fronted Goose,GWFG
Greater Yellowlegs,GRYE
Green Heron,GRHE
Green-winged Teal,GWTE
Hairy Woodpecker,HAWO
Hammond's Flycatcher,HAFL
Harris's Sparrow,HASP
Henslow's Sparrow,HESP
Hermit Thrush,HETH
Herring Gull,HERG
Hooded Merganser,HOME
Hooded Warbler,HOWA
Horned Grebe,HOGR
Horned Lark,HOLA
House Finch,HOFI
House Sparrow,HOSP
House Wren,HOWR
Indigo Bunting,INBU
Kentucky Warbler,KEWA
Killdeer,KILL
King Rail,KIRA
Kirtland's Warbler,KIWA
Lapland Longspur,LALO
Lark Sparrow,LASP
Lazuli Bunting,LAZB
Least Bittern,LEBI
Least Flycatcher,LEFL
Least Sandpiper,LESA
LeConte's Sparrow,LCSP
Lesser Black-backed Gull,LBBG
Lesser Yellowlegs,LEYE
Lincoln's Sparrow,LISP
Loggerhead Shrike,LOSH
Long-billed Curlew,LBCU
Long-billed Dowitcher,LBDO
Long-eared Owl,LEOW
Long-tailed Duck,LTDU
Louisiana Waterthrush,LOWA
MacGillivray's Warbler,MGWA
Magnolia Warbler,MAWA
Mallard,MALL
Marbled Godwit,MAGO
Marbled Murrelet,MAMU
Marsh Wren,MAWR
Merlin,MERL
Mountain Bluebird,MOBL
Mountain Chickadee,MOCH
Mourning Dove,MODO
Mourning Warbler,MOWA
Mute Swan,MUSW
Nashville Warbler,NAWA
Nelson's Sparrow,NESP
Northern Cardinal,NOCA
Northern Flicker,NOFL
American Goshawk,AGOS
Northern Harrier,NOHA
Northern Hawk Owl,NHOW
Northern Parula,NOPA
Northern Pintail,NOPI
Northern Pygmy-Owl,NOPO
Northern Rough-winged Swallow,NRWS
Northern Saw-whet Owl,NSWO
Northern Shoveler,NSHO
Northern Shrike,NSHR
Northern Waterthrush,NOWA
Olive-sided Flycatcher,OSFL
Orange-crowned Warbler,OCWA
Orchard Oriole,OROR
Osprey,OSPR
Ovenbird,OVEN
Pacific Wren,PAWR
Palm Warbler,PAWA
Pectoral Sandpiper,PESA
Peregrine Falcon,PEFA
Philadelphia Vireo,PHVI
Pied-billed Grebe,PBGR
Pileated Woodpecker,PIWO
Pine Grosbeak,PIGR
Pine Siskin,PISI
Pine Warbler,PIWA
Prairie Warbler,PRAW
Prothonotary Warbler,PROW
Purple Finch,PUFI
Purple Martin,PUMA
Red Crossbill,RECR
Redhead,REDH
Redpoll,REDP
Red-bellied Woodpecker,RBWO
Red-breasted Nuthatch,RBNU
Red-breasted Sapsucker,RBSA
Red-eyed Vireo,REVI
Red-headed Woodpecker,RHWO
Red-naped Sapsucker,RNSA
Red-necked Grebe,RNGR
Red-necked Phalarope,RNPH
Red-shouldered Hawk,RSHA
Red-tailed Hawk,RTHA
Red-throated Loon,RTLO
Red-winged Blackbird,RWBL
Ring-billed Gull,RBGU
Ring-necked Duck,RNDU
Ring-necked Pheasant,RNEP
Rock Pigeon,ROPI
Rock Ptarmigan,ROPT
Rock Wren,ROWR
Rose-breasted Grosbeak,RBGR
Rough-legged Hawk,RLHA
Ruby-crowned Kinglet,RCKI
Ruby-throated Hummingbird,RTHU
Ruddy Duck,RUDU
Ruddy Turnstone,RUTU
Ruffed Grouse,RUGR
Rufous Hummingbird,RUHU
Rusty Blackbird,RUBL
Sanderling,SAND
Sandhill Crane,SACR
Savannah Sparrow,SAVS
Say's Phoebe,SAPH
Scarlet Tanager,SCTA
Sedge Wren,SEWR
Semipalmated Plover,SEPL
Semipalmated Sandpiper,SESA
Sharp-shinned Hawk,SSHA
Sharp-tailed Grouse,STGR
Short-billed Dowitcher,SBDO
Short-billed Gull,SBIG
Short-eared Owl,SEOW
Snow Bunting,SNBU
Snow Goose,SNGO
Solitary Sandpiper,SOSA
Song Sparrow,SOSP
Sora,SORA
Spotted Sandpiper,SPSA
Spotted Towhee,SPTO
Sprague's Pipit,SPPI
Spruce Grouse,SPGR
Steller's Jay,STJA
Summer Tanager,SUTA
Swainson's Hawk,SWHA
Swainson's Thrush,SWTH
Swamp Sparrow,SWSP
Tennessee Warbler,TEWA
Thick-billed Longspur,TBLO
Townsend's Solitaire,TOSO
Townsend's Warbler,TOWA
Tree Swallow,TRES
Trumpeter Swan,TRUS
Tufted Titmouse,TUTI
Tundra Swan,TUSW
Upland Sandpiper,UPSA
Varied Thrush,VATH
Vaux's Swift,VASW
Veery,VEER
Vesper Sparrow,VESP
Violet-green Swallow,VGSW
Virginia Rail,VIRA
Warbling Vireo,WAVI
Western Flycatcher,WEFL
Western Grebe,WEGR
Western Kingbird,WEKI
Western Meadowlark,WEME
Western Tanager,WETA
Western Wood-Pewee,WEWP
Whimbrel,WHIM
White-breasted Nuthatch,WBNU
White-crowned Sparrow,WCSP
White-eyed Vireo,WEVI
White-rumped Sandpiper,WRSA
White-throated Sparrow,WTSP
White-winged Crossbill,WWCR
Wild Turkey,WITU
Willet,WILL
Willow Flycatcher,WIFL
Willow Ptarmigan,WIPT
Wilson's Phalarope,WIPH
Wilson's Snipe,WISN
Wilson's Warbler,WIWA
Winter Wren,WIWR
Wood Duck,WODU
Wood Thrush,WOTH
Yellow Rail,YERA
Yellow Warbler,YEWA
Yellow-bellied Flycatcher,YBFL
Yellow-bellied Sapsucker,YBSA
Yellow-billed Cuckoo,YBCU
Yellow-breasted Chat,YBCH
Yellow-headed Blackbird,YHBL
Yellow-rumped Warbler,YRWA
Yellow-throated Vireo,YTVI
Yellow-throated Warbler,YTWA
